Dataset,DP_PPR,DP_SGD,Sigma,Accuracy,Epsilon,Gravity
data/cora_ml,False,False,,0.0619,0.0,False
data/cora_ml,True,False,0.15082,0.0341,1.1312639491146967,False
data/cora_ml,True,False,0.08104,0.0372,2.206053317942913,False
data/cora_ml,True,False,0.05619,0.0217,3.263939910842594,False
data/cora_ml,True,False,0.04326,0.0248,4.313994994815165,False
data/cora_ml,True,False,0.03526,0.0279,5.363034437923216,False
data/cora_ml,False,True,,0.0341,0.0,False
data/cora_ml,True,True,0.15082,0.031,1.1312639491146967,False
data/cora_ml,True,True,0.08104,0.031,2.206053317942913,False
data/cora_ml,True,True,0.05619,0.0341,3.263939910842594,False
data/cora_ml,True,True,0.04326,0.0341,4.313994994815165,False
data/cora_ml,True,True,0.03526,0.0341,5.363034437923216,False
data/cora_ml,False,False,,0.0743,0.0,True
data/cora_ml,True,False,0.15082,0.0681,1.1312639491146967,True
data/cora_ml,True,False,0.08104,0.065,2.206053317942913,True
data/cora_ml,True,False,0.05619,0.0743,3.263939910842594,True
data/cora_ml,True,False,0.04326,0.0743,4.313994994815165,True
data/cora_ml,True,False,0.03526,0.0743,5.363034437923216,True
data/cora_ml,False,True,,0.0433,0.0,True
data/cora_ml,True,True,0.15082,0.0495,1.1312639491146967,True
data/cora_ml,True,True,0.08104,0.0464,2.206053317942913,True
data/cora_ml,True,True,0.05619,0.0433,3.263939910842594,True
data/cora_ml,True,True,0.04326,0.0526,4.313994994815165,True
data/cora_ml,True,True,0.03526,0.0372,5.363034437923216,True
