Dataset,DP_PPR,DP_SGD,Feature_Aware,Sigma,Accuracy,Epsilon
data/cora_ml,False,False,False,,0.6935,0.0
data/cora_ml,True,False,False,0.15082,0.5046,1.1312639491146967
data/cora_ml,True,False,False,0.08104,0.6037,2.206053317942913
data/cora_ml,True,False,False,0.05619,0.3777,3.263939910842594
data/cora_ml,True,False,False,0.04326,0.5294,4.313994994815165
data/cora_ml,True,False,False,0.03526,0.6935,5.363034437923216
data/cora_ml,True,False,False,0.02983,0.4334,6.406301171609443
data/cora_ml,True,False,False,0.0259,0.5449,7.442893554003019
data/cora_ml,False,True,False,,0.7152,0.0
data/cora_ml,True,True,False,0.15082,0.3839,1.1312639491146967
data/cora_ml,True,True,False,0.08104,0.4954,2.206053317942913
data/cora_ml,True,True,False,0.05619,0.548,3.263939910842594
data/cora_ml,True,True,False,0.04326,0.3777,4.313994994815165
data/cora_ml,True,True,False,0.03526,0.4118,5.363034437923216
data/cora_ml,True,True,False,0.02983,0.5263,6.406301171609443
data/cora_ml,True,True,False,0.0259,0.548,7.442893554003019
data/cora_ml,False,False,True,,0.7121,0.0
data/cora_ml,True,False,True,0.15082,0.6656,1.1312639491146967
data/cora_ml,True,False,True,0.08104,0.6594,2.206053317942913
data/cora_ml,True,False,True,0.05619,0.6285,3.263939910842594
data/cora_ml,True,False,True,0.04326,0.6006,4.313994994815165
data/cora_ml,True,False,True,0.03526,0.7523,5.363034437923216
data/cora_ml,True,False,True,0.02983,0.5604,6.406301171609443
data/cora_ml,True,False,True,0.0259,0.7461,7.442893554003019
data/cora_ml,False,True,True,,0.678,0.0
data/cora_ml,True,True,True,0.15082,0.4427,1.1312639491146967
data/cora_ml,True,True,True,0.08104,0.5728,2.206053317942913
data/cora_ml,True,True,True,0.05619,0.5387,3.263939910842594
data/cora_ml,True,True,True,0.04326,0.5851,4.313994994815165
data/cora_ml,True,True,True,0.03526,0.6192,5.363034437923216
data/cora_ml,True,True,True,0.02983,0.5511,6.406301171609443
data/cora_ml,True,True,True,0.0259,0.5449,7.442893554003019
data/pubmed,False,False,False,,0.8344,0.0
data/pubmed,True,False,False,0.15082,0.8284,1.1312639491146967
data/pubmed,True,False,False,0.08104,0.8367,2.206053317942913
data/pubmed,True,False,False,0.05619,0.8251,3.263939910842594
data/pubmed,True,False,False,0.04326,0.8168,4.313994994815165
data/pubmed,True,False,False,0.03526,0.8377,5.363034437923216
data/pubmed,True,False,False,0.02983,0.8372,6.406301171609443
data/pubmed,True,False,False,0.0259,0.8539,7.442893554003019
data/pubmed,False,True,False,,0.8391,0.0
data/pubmed,True,True,False,0.15082,0.8335,1.1312639491146967
data/pubmed,True,True,False,0.08104,0.8293,2.206053317942913
data/pubmed,True,True,False,0.05619,0.833,3.263939910842594
data/pubmed,True,True,False,0.04326,0.8312,4.313994994815165
data/pubmed,True,True,False,0.03526,0.8432,5.363034437923216
data/pubmed,True,True,False,0.02983,0.8358,6.406301171609443
data/pubmed,True,True,False,0.0259,0.8288,7.442893554003019
data/pubmed,False,False,True,,0.8465,0.0
data/pubmed,True,False,True,0.15082,0.8377,1.1312639491146967
data/pubmed,True,False,True,0.08104,0.8177,2.206053317942913
data/pubmed,True,False,True,0.05619,0.8544,3.263939910842594
data/pubmed,True,False,True,0.04326,0.8349,4.313994994815165
data/pubmed,True,False,True,0.03526,0.834,5.363034437923216
data/pubmed,True,False,True,0.02983,0.8386,6.406301171609443
data/pubmed,True,False,True,0.0259,0.8219,7.442893554003019
data/pubmed,False,True,True,,0.8502,0.0
data/pubmed,True,True,True,0.15082,0.833,1.1312639491146967
data/pubmed,True,True,True,0.08104,0.8437,2.206053317942913
data/pubmed,True,True,True,0.05619,0.82,3.263939910842594
data/pubmed,True,True,True,0.04326,0.8418,4.313994994815165
data/pubmed,True,True,True,0.03526,0.8321,5.363034437923216
data/pubmed,True,True,True,0.02983,0.8451,6.406301171609443
data/pubmed,True,True,True,0.0259,0.8409,7.442893554003019
data/ms_academic,False,False,False,,0.9428,0.0
data/ms_academic,True,False,False,0.15082,0.9491,1.1312639491146967
data/ms_academic,True,False,False,0.08104,0.9525,2.206053317942913
data/ms_academic,True,False,False,0.05619,0.9516,3.263939910842594
data/ms_academic,True,False,False,0.04326,0.9549,4.313994994815165
data/ms_academic,True,False,False,0.03526,0.9491,5.363034437923216
data/ms_academic,True,False,False,0.02983,0.9482,6.406301171609443
data/ms_academic,True,False,False,0.0259,0.936,7.442893554003019
data/ms_academic,False,True,False,,0.9399,0.0
data/ms_academic,True,True,False,0.15082,0.9273,1.1312639491146967
data/ms_academic,True,True,False,0.08104,0.9399,2.206053317942913
data/ms_academic,True,True,False,0.05619,0.9307,3.263939910842594
data/ms_academic,True,True,False,0.04326,0.9142,4.313994994815165
data/ms_academic,True,True,False,0.03526,0.938,5.363034437923216
data/ms_academic,True,True,False,0.02983,0.9356,6.406301171609443
data/ms_academic,True,True,False,0.0259,0.9293,7.442893554003019
data/ms_academic,False,False,True,,0.9535,0.0
data/ms_academic,True,False,True,0.15082,0.9438,1.1312639491146967
data/ms_academic,True,False,True,0.08104,0.9501,2.206053317942913
data/ms_academic,True,False,True,0.05619,0.9467,3.263939910842594
data/ms_academic,True,False,True,0.04326,0.9559,4.313994994815165
data/ms_academic,True,False,True,0.03526,0.9482,5.363034437923216
data/ms_academic,True,False,True,0.02983,0.9346,6.406301171609443
data/ms_academic,True,False,True,0.0259,0.9467,7.442893554003019
data/ms_academic,False,True,True,,0.9327,0.0
data/ms_academic,True,True,True,0.15082,0.9414,1.1312639491146967
data/ms_academic,True,True,True,0.08104,0.9438,2.206053317942913
data/ms_academic,True,True,True,0.05619,0.9283,3.263939910842594
data/ms_academic,True,True,True,0.04326,0.9273,4.313994994815165
data/ms_academic,True,True,True,0.03526,0.9385,5.363034437923216
data/ms_academic,True,True,True,0.02983,0.9433,6.406301171609443
data/ms_academic,True,True,True,0.0259,0.9254,7.442893554003019
