Dataset,DP_PPR,DP_SGD,Feature_Aware,Sigma,TopK,Accuracy,Epsilon,Accuracy_Std,Epsilon_Std
data/cora_ml,False,False,False,,2,0.7133,0.0,0.026591351977663703,0.0
data/cora_ml,False,False,False,,3,0.72384,0.0,0.07578956656427058,0.0
data/cora_ml,False,False,False,,4,0.7101999999999999,0.0,0.06734689302410321,0.0
data/cora_ml,False,False,False,,5,0.70712,0.0,0.07851935812269481,0.0
data/cora_ml,False,False,False,,6,0.6563399999999999,0.0,0.05293424600388674,0.0
data/cora_ml,False,False,False,,7,0.6904,0.0,0.05578117962180435,0.0
data/cora_ml,False,False,False,,8,0.73684,0.0,0.03420260808768828,0.0
data/cora_ml,True,False,False,0.15082,2,0.5708799999999999,1.1312639491146967,0.08500205644571193,0.0
data/cora_ml,True,False,False,0.08104,2,0.47862,2.206053317942913,0.09449790262222754,0.0
data/cora_ml,True,False,False,0.05619,2,0.5510999999999999,3.263939910842594,0.09009879022495253,0.0
data/cora_ml,True,False,False,0.04326,2,0.47804,4.313994994815165,0.059563801087573316,0.0
data/cora_ml,True,False,False,0.03526,2,0.4774,5.363034437923216,0.05726915400108509,0.0
data/cora_ml,True,False,False,0.02983,2,0.4904,6.406301171609444,0.023035798227975524,8.881784197001252e-16
data/cora_ml,True,False,False,0.0259,2,0.50278,7.442893554003019,0.08311826273449176,0.0
data/cora_ml,True,False,False,0.15082,3,0.5325,1.1312639491146967,0.08547280269185047,0.0
data/cora_ml,True,False,False,0.08104,3,0.5288,2.206053317942913,0.02887434847749815,0.0
data/cora_ml,True,False,False,0.05619,3,0.44704,3.263939910842594,0.0480426310686665,0.0
data/cora_ml,True,False,False,0.04326,3,0.58018,4.313994994815165,0.05700678556101895,0.0
data/cora_ml,True,False,False,0.03526,3,0.53746,5.363034437923216,0.11865883195110258,0.0
data/cora_ml,True,False,False,0.02983,3,0.5095799999999999,6.406301171609444,0.05646936868781162,8.881784197001252e-16
data/cora_ml,True,False,False,0.0259,3,0.45446,7.442893554003019,0.03780214808711273,0.0
data/cora_ml,True,False,False,0.15082,4,0.5189,1.1312639491146967,0.06120336592051128,0.0
data/cora_ml,True,False,False,0.08104,4,0.50714,2.206053317942913,0.061376920743875706,0.0
data/cora_ml,True,False,False,0.05619,4,0.56162,3.263939910842594,0.036007632524230185,0.0
data/cora_ml,True,False,False,0.04326,4,0.5028,4.313994994815165,0.11039269903394879,0.0
data/cora_ml,True,False,False,0.03526,4,0.44521999999999995,5.363034437923216,0.07366207708176575,0.0
data/cora_ml,True,False,False,0.02983,4,0.5393199999999999,6.406301171609444,0.07469316970111792,8.881784197001252e-16
data/cora_ml,True,False,False,0.0259,4,0.55914,7.442893554003019,0.044663389929560864,0.0
data/cora_ml,True,False,False,0.15082,5,0.5157999999999999,1.1312639491146967,0.10780699420724055,0.0
data/cora_ml,True,False,False,0.08104,5,0.5288,2.206053317942913,0.06962304216277826,0.0
data/cora_ml,True,False,False,0.05619,5,0.5578799999999999,3.263939910842594,0.08225444425683028,0.0
data/cora_ml,True,False,False,0.04326,5,0.56036,4.313994994815165,0.03317568989486126,0.0
data/cora_ml,True,False,False,0.03526,5,0.53002,5.363034437923216,0.11919782548352131,0.0
data/cora_ml,True,False,False,0.02983,5,0.49657999999999997,6.406301171609444,0.06374920862253898,8.881784197001252e-16
data/cora_ml,True,False,False,0.0259,5,0.58514,7.442893554003019,0.03842486694837083,0.0
data/cora_ml,True,False,False,0.15082,6,0.5777000000000001,1.1312639491146967,0.046787006743325664,0.0
data/cora_ml,True,False,False,0.08104,6,0.53128,2.206053317942913,0.10677118337828799,0.0
data/cora_ml,True,False,False,0.05619,6,0.5609999999999999,3.263939910842594,0.040739317618241934,0.0
data/cora_ml,True,False,False,0.04326,6,0.5579,4.313994994815165,0.0859188919854068,0.0
data/cora_ml,True,False,False,0.03526,6,0.5467600000000001,5.363034437923216,0.07428298863131451,0.0
data/cora_ml,True,False,False,0.02983,6,0.57028,6.406301171609444,0.04247707146214295,8.881784197001252e-16
data/cora_ml,True,False,False,0.0259,6,0.4687200000000001,7.442893554003019,0.025127865010780348,0.0
data/cora_ml,True,False,False,0.15082,7,0.58204,1.1312639491146967,0.10258847108715483,0.0
data/cora_ml,True,False,False,0.08104,7,0.57648,2.206053317942913,0.07742507087500795,0.0
data/cora_ml,True,False,False,0.05619,7,0.5430200000000001,3.263939910842594,0.08388617049311524,0.0
data/cora_ml,True,False,False,0.04326,7,0.56656,4.313994994815165,0.07318091554496976,0.0
data/cora_ml,True,False,False,0.03526,7,0.5337400000000001,5.363034437923216,0.06708050685556871,0.0
data/cora_ml,True,False,False,0.02983,7,0.4929,6.406301171609444,0.09903342869960627,8.881784197001252e-16
data/cora_ml,True,False,False,0.0259,7,0.56036,7.442893554003019,0.06589569333423846,0.0
