Dataset,DP_PPR,DP_SGD,Feature_Aware,Sigma,Accuracy,Epsilon,Accuracy_Std,Epsilon_Std
data/cora_ml,False,False,False,,0.056940000000000004,0.0,0.006959482739399527,0.0
data/cora_ml,True,False,False,0.15082,0.03285999999999999,1.1312639491146967,0.0015186836405255697,0.0
data/cora_ml,True,False,False,0.08104,0.031599999999999996,2.206053317942913,0.006593633292806022,0.0
data/cora_ml,True,False,False,0.05619,0.02914,3.263939910842594,0.0037199999999999998,0.0
data/cora_ml,True,False,False,0.04326,0.02666,4.313994994815165,0.003161392098427527,0.0
data/cora_ml,True,False,False,0.03526,0.035339999999999996,5.363034437923216,0.0015186836405255697,0.0
data/cora_ml,True,False,False,0.02983,0.026039999999999997,6.406301171609444,0.005405034689990434,8.881784197001252e-16
data/cora_ml,True,False,False,0.0259,0.02356,7.442893554003019,0.0024800000000000004,0.0
data/cora_ml,False,True,False,,0.04084,0.0,0.0022878811157925148,0.0
data/cora_ml,True,True,False,0.15082,0.029759999999999998,1.1312639491146967,0.0024799999999999987,0.0
data/cora_ml,True,True,False,0.08104,0.032240000000000005,2.206053317942913,0.0024799999999999987,0.0
data/cora_ml,True,True,False,0.05619,0.03286,3.263939910842594,0.0037199999999999985,0.0
data/cora_ml,True,True,False,0.04326,0.029759999999999998,4.313994994815165,0.004639655159599686,0.0
data/cora_ml,True,True,False,0.03526,0.031,5.363034437923216,0.0019606121493043944,0.0
data/cora_ml,True,True,False,0.02983,0.03346,6.406301171609444,0.004526190451141002,8.881784197001252e-16
data/cora_ml,True,True,False,0.0259,0.03224,7.442893554003019,0.0015186836405255697,0.0
data/cora_ml,False,False,True,,0.05384,0.0,0.005405034689990432,0.0
data/cora_ml,True,False,True,0.15082,0.036559999999999995,1.1312639491146967,0.00529626283335712,0.0
data/cora_ml,True,False,True,0.08104,0.03594,2.206053317942913,0.0031340708351918272,0.0
data/cora_ml,True,False,True,0.05619,0.02852,3.263939910842594,0.0045560509215767115,0.0
data/cora_ml,True,False,True,0.04326,0.02418,4.313994994815165,0.003037367281051141,0.0
data/cora_ml,True,False,True,0.03526,0.02914,5.363034437923216,0.003161392098427526,0.0
data/cora_ml,True,False,True,0.02983,0.02666,6.406301171609444,0.004205044589537666,8.881784197001252e-16
data/cora_ml,True,False,True,0.0259,0.02604,7.442893554003019,0.003161392098427527,0.0
data/cora_ml,False,True,True,,0.04146000000000001,0.0,0.004184542985799048,0.0
data/cora_ml,True,True,True,0.15082,0.02914,1.1312639491146967,0.0015186836405255697,0.0
data/cora_ml,True,True,True,0.08104,0.03286,2.206053317942913,0.003719999999999998,0.0
data/cora_ml,True,True,True,0.05619,0.029759999999999998,3.263939910842594,0.003161392098427526,0.0
data/cora_ml,True,True,True,0.04326,0.03162,4.313994994815165,0.0030373672810511394,0.0
data/cora_ml,True,True,True,0.03526,0.03038,5.363034437923216,0.0023198275797998427,0.0
data/cora_ml,True,True,True,0.02983,0.031619999999999995,6.406301171609444,0.0023198275797998427,8.881784197001252e-16
data/cora_ml,True,True,True,0.0259,0.032240000000000005,7.442893554003019,0.003161392098427525,0.0
