Dataset,DP_PPR,DP_SGD,Feature_Aware,Sigma,Accuracy,Epsilon
data/cora_ml,False,False,False,,0.6935,0.0
data/cora_ml,True,False,False,0.15082,0.5417799999999999,1.1312639491146967
data/cora_ml,True,False,False,0.08104,0.53746,2.206053317942913
data/cora_ml,True,False,False,0.05619,0.60064,3.263939910842594
data/cora_ml,True,False,False,0.04326,0.5511,4.313994994815165
data/cora_ml,True,False,False,0.03526,0.5157999999999999,5.363034437923216
data/cora_ml,True,False,False,0.02983,0.52384,6.406301171609444
data/cora_ml,True,False,False,0.0259,0.48979999999999996,7.442893554003019
data/cora_ml,False,True,False,,0.5907199999999999,0.0
data/cora_ml,True,True,False,0.15082,0.43966000000000005,1.1312639491146967
data/cora_ml,True,True,False,0.08104,0.41297999999999996,2.206053317942913
data/cora_ml,True,True,False,0.05619,0.46192,3.263939910842594
data/cora_ml,True,True,False,0.04326,0.42602,4.313994994815165
data/cora_ml,True,True,False,0.03526,0.42416,5.363034437923216
data/cora_ml,True,True,False,0.02983,0.45202,6.406301171609444
data/cora_ml,True,True,False,0.0259,0.48484,7.442893554003019
data/cora_ml,False,False,True,,0.7368399999999999,0.0
data/cora_ml,True,False,True,0.15082,0.66688,1.1312639491146967
data/cora_ml,True,False,True,0.08104,0.6414799999999999,2.206053317942913
data/cora_ml,True,False,True,0.05619,0.62232,3.263939910842594
data/cora_ml,True,False,True,0.04326,0.6514,4.313994994815165
data/cora_ml,True,False,True,0.03526,0.64768,5.363034437923216
data/cora_ml,True,False,True,0.02983,0.70218,6.406301171609444
data/cora_ml,True,False,True,0.0259,0.70156,7.442893554003019
data/cora_ml,False,True,True,,0.65198,0.0
data/cora_ml,True,True,True,0.15082,0.49535999999999997,1.1312639491146967
data/cora_ml,True,True,True,0.08104,0.53374,2.206053317942913
data/cora_ml,True,True,True,0.05619,0.50712,3.263939910842594
data/cora_ml,True,True,True,0.04326,0.5628399999999999,4.313994994815165
data/cora_ml,True,True,True,0.03526,0.49535999999999997,5.363034437923216
data/cora_ml,True,True,True,0.02983,0.5486000000000001,6.406301171609444
data/cora_ml,True,True,True,0.0259,0.56782,7.442893554003019
