topk,ppr_normalization,data_file,Accuracy,Std
2,row,data/cora_ml.npz,0.6928599999999999,0.055467056889652956
2,row,data/ms_academic.npz,0.94662,0.004308781730373474
2,row,data/pubmed.npz,0.8404400000000001,0.00692779907329882
2,cosine_similarity,data/cora_ml.npz,0.6315799999999999,0.0695503098483393
2,cosine_similarity,data/ms_academic.npz,0.95136,0.006033108651433364
2,cosine_similarity,data/pubmed.npz,0.83682,0.002426025556336954
4,row,data/cora_ml.npz,0.6872999999999999,0.08027555044968548
4,row,data/ms_academic.npz,0.94488,0.004271955055943368
4,row,data/pubmed.npz,0.8432000000000001,0.00950726038351745
4,cosine_similarity,data/cora_ml.npz,0.68298,0.022030379025336798
4,cosine_similarity,data/ms_academic.npz,0.96038,0.0025435408390666503
4,cosine_similarity,data/pubmed.npz,0.83666,0.009819898166478092
6,row,data/cora_ml.npz,0.7120599999999999,0.07628450956780153
6,row,data/ms_academic.npz,0.9480599999999999,0.005901389666849653
6,row,data/pubmed.npz,0.83972,0.0038545557461269263
6,cosine_similarity,data/cora_ml.npz,0.61486,0.04165436831834087
6,cosine_similarity,data/ms_academic.npz,0.95938,0.0012512393855693825
6,cosine_similarity,data/pubmed.npz,0.8269,0.00955573126453439
8,row,data/cora_ml.npz,0.70774,0.05674122310983435
8,row,data/ms_academic.npz,0.9462200000000001,0.0038441644085548806
8,row,data/pubmed.npz,0.8421200000000001,0.0070425563540521385
8,cosine_similarity,data/cora_ml.npz,0.6483000000000001,0.041947729378358486
8,cosine_similarity,data/ms_academic.npz,0.9532999999999999,0.009389142665866766
8,cosine_similarity,data/pubmed.npz,0.8293000000000001,0.008566679636825463
10,row,data/cora_ml.npz,0.6662600000000001,0.10425328004432281
10,row,data/ms_academic.npz,0.9471,0.0033039370454050823
10,row,data/pubmed.npz,0.82746,0.011214740300158557
10,cosine_similarity,data/cora_ml.npz,0.6569799999999999,0.029326465862766337
10,cosine_similarity,data/ms_academic.npz,0.9558,0.006431174076325401
10,cosine_similarity,data/pubmed.npz,0.8283799999999999,0.013152399020711018
